TransactionID,Date,MobileModel,Brand,Price,UnitsSold,TotalRevenue,CustomerAge,CustomerGender,Location,PaymentMethod,Storage in GB,RAM in GB,Display Size
79397f68-61ed-4ea8-bcb2-f918d4e6c05b,06-01-2024,iPhone 14 Pro,Apple,1196.95,85,28002.8,32,Female,Port Erik,Online,1024,8,6.1
4f87d114-f522-4ead-93e3-f336402df6aa,05-04-2024,Moto G Power,Motorola,1010.34,64,2378.82,55,Female,East Linda,Credit Card,128,12,6.9
6750b7d6-dcc5-48c5-a76a-b6fc9d540fe1,13-02-2024,Xperia 1 IV,Sony,400.8,95,31322.56,57,Male,East Angelicastad,Online,256,4,6.4
7da7de95-f772-4cc2-bce0-b0873f98233e,17-04-2024,Moto G Power,Motorola,338.6,79,31159.75,46,Other,East Kevin,Cash,1024,18,5.5
469044af-0d60-4d87-af66-c6603e844057,02-06-2024,Mi 11,Xiaomi,839.79,41,11523.36,38,Male,New Lindaborough,Online,64,18,5.5
f7e98db9-cb87-453e-8179-e48ba5443932,07-03-2024,Moto G Power,Motorola,1498.13,70,9703.89,45,Female,Port Daryl,Debit Card,256,16,6.7
61f1c03f-5527-49bf-88f6-0d8694e72d41,13-07-2024,Xperia 5 III,Sony,975.77,63,8300.22,23,Other,Kathrynborough,Online,256,8,6.1
55d74ccb-e3c0-4ceb-a102-6d553736b944,18-03-2024,OnePlus Nord 2T,OnePlus,530.7,79,4515.8,26,Female,Kyleborough,Online,1024,4,6.7
889bd479-e06a-494d-baae-e099bea5469c,12-04-2024,iPhone 15,Apple,178.52,58,36150.93,20,Female,Jacquelinestad,Debit Card,32,8,6.4
567c276b-fec4-47e4-b5be-71f2b79bd745,19-04-2024,Realme 11 Pro+,Realme,774.79,92,24228.27,33,Male,South Jessicachester,Online,64,4,6.7
f7d25e75-e7e6-4b61-8879-63121787a1dd,13-07-2024,OnePlus 10 Pro,OnePlus,806.59,22,2327.26,41,Other,Allisonview,Cash,1024,16,5.5
c28cafd9-08a6-4a72-8a89-b05d82993315,18-02-2024,iPhone 13,Apple,317.64,21,100809.36,62,Female,Samanthafurt,Debit Card,64,16,5.5
1a9dfe22-c8d8-4872-8cb3-1e7d37c492a9,27-01-2024,iPhone 15,Apple,1460.22,49,14547.5,37,Other,West Amy,Online,64,18,6.9
740bd70e-8837-4f7f-8621-45d98a0788ea,16-02-2024,Galaxy A54,Samsung,761.48,45,36463.14,43,Female,Harrishaven,Debit Card,256,8,6.9
72122aaf-4049-4799-9c5e-56fa0bda637a,02-07-2024,Xperia 5 III,Sony,965.15,76,112966.65,53,Other,Brandonfort,Online,128,24,6.4
41e73345-7161-4b86-9922-848a9ca80bf9,05-06-2024,A78 5G,Oppo,1354.69,10,38613.38,38,Male,Griffinland,Online,64,18,6.1
21c8f1ad-417b-46a8-8bec-ccfe5d9b18f9,01-05-2024,iPhone 14 Pro,Apple,1025.05,97,3751.67,31,Other,Joetown,Debit Card,512,8,6.7
f0e76c4a-2a03-4c2d-821c-114e2877fa0d,13-07-2024,OnePlus Nord 2T,OnePlus,1071.99,22,34368.64,56,Female,Port Mikehaven,Cash,256,18,6.4
a1dae876-8ee4-4d2e-ac91-35d2536426cf,12-06-2024,A78 5G,Oppo,1415.74,65,28099.3,35,Other,Sharonmouth,Debit Card,32,24,6.9
5a907002-ba75-4125-879a-217705dd56fd,30-04-2024,A78 5G,Oppo,307.58,11,12066,25,Male,Hendersonfort,Cash,128,12,6.7
01ba7cfd-dc66-4825-9d40-3575f752c1cc,02-01-2024,X90 Pro,Vivo,678.72,60,86889.63,59,Female,South Edward,Online,512,12,6.9
